#,Team,GP,W,D,L,GF,GA,GD,PTS,Fantasy Points,Ratio
1,Leicester City,23,13,8,2,42,26,16,47,1066,0.044090056
2,Man City,23,13,5,5,45,23,22,44,1171,0.037574722
3,Arsenal,23,13,5,5,37,22,15,44,1134,0.038800705
4,Tottenham,23,11,9,3,41,19,22,42,1104,0.038043478
5,Man United,23,10,7,6,28,21,7,37,1001,0.036963037
6,West Ham,23,9,9,5,36,28,8,36,972,0.037037037
7,Liverpool,23,9,7,7,30,32,-2,34,951,0.03575184
8,Southampton,23,9,6,8,32,24,8,33,1032,0.031976744
9,Stoke City,23,9,6,8,24,25,-1,33,958,0.034446764
10,Watford,23,9,5,9,27,26,1,32,984,0.032520325
11,Crystal Palace,23,9,4,10,24,27,-3,31,875,0.035428571
12,Everton,23,6,11,6,40,34,6,29,952,0.030462185
13,Chelsea,23,7,7,9,32,34,-2,28,941,0.029755579
14,West Brom,23,7,7,9,22,30,-8,28,849,0.032979976
15,Swansea City,23,6,7,10,22,31,-9,25,802,0.03117207
16,Bournemouth,23,6,7,10,27,38,-11,25,868,0.028801843
17,Norwich City,23,6,5,12,28,43,-15,23,819,0.028083028
18,Newcastle,23,5,6,12,25,41,-16,21,821,0.025578563
19,Sunderland,23,5,4,14,28,46,-18,19,702,0.027065527
20,Aston Villa,23,2,7,14,18,38,-20,13,724,0.017955801
